id,edge_id,lon,lat,elev,dist,km,time,elev_diff,pace,clean_lon,clean_lat
1,3397,2.31338,42.57473,974.4,0.0,0,0.0,0.0,0.0,2.3133364,42.574757
2,3397,2.313309,42.574743,973.9,0.01,0,0.22,-0.5,1.67,2.3133225,42.574735
3,3397,2.313314,42.574789,974.4,0.01,0,0.47,0.5,1.23,2.313344,42.574769
4,3397,2.313359,42.574826,976.2,0.02,0,0.57,1.8000000000000682,3.32,2.3133747,42.574816
5,3397,2.31339,42.574872,978.0,0.02,0,0.65,1.7999999999999545,4.11,2.3134053,42.574862
6,3397,2.313421,42.574918,978.6,0.03,0,0.73,0.6000000000000227,4.11,2.3134359,42.574908
7,3397,2.313454,42.574957,979.6,0.03,0,0.8,1.0,4.6,2.3134639,42.57495
8,3397,2.313474,42.575007,980.2,0.04,0,0.88,0.6000000000000227,4.17,2.313493,42.574994
9,3397,2.313511,42.575048,980.6,0.04,0,0.95,0.39999999999997726,4.93,2.3135231,42.57504
10,3397,2.313535,42.575096,981.1,0.05,0,1.05,0.5,3.41,2.3135525,42.575084
11,3397,2.313566,42.575144,981.4,0.06,0,1.13,0.2999999999999545,4.25,2.3135843,42.575132
12,3397,2.313599,42.575196,981.5,0.06,0,1.22,0.10000000000002274,4.59,2.3136186,42.575183
13,3397,2.313622,42.575246,981.6,0.07,0,1.3,0.10000000000002274,4.22,2.3136489,42.575228
14,6326,2.313654,42.575291,981.8,0.07,0,1.42,0.1999999999999318,2.9,2.3136454,42.575312
15,6326,2.313692,42.57533,982.1,0.08,0,1.57,0.3000000000000682,2.14,2.3136917,42.575331
16,6324,2.313733,42.575365,984.0,0.08,0,1.73,1.8999999999999773,1.85,2.3137399,42.575358
17,6324,2.313771,42.575401,985.6,0.09,0,2.27,1.6000000000000227,0.57,2.3137761,42.575396
18,6324,2.313804,42.575442,986.0,0.09,0,3.25,0.39999999999997726,0.32,2.3138123,42.575434
19,6324,2.313853,42.575472,986.0,0.1,0,3.33,0.0,3.76,2.3138508,42.575474
20,6324,2.31386,42.575525,986.2,0.11,0,3.48,0.20000000000004547,2.37,2.3138396,42.575515
21,6324,2.313839,42.575574,986.2,0.11,0,3.58,0.0,3.43,2.3138162,42.575563
22,6323,2.313825,42.575626,986.3,0.12,0,3.68,0.09999999999990905,3.53,2.3138389,42.57561
23,6323,2.313872,42.575668,987.5,0.12,0,3.9,1.2000000000000455,1.68,2.3138864,42.575651
24,6323,2.313911,42.575708,988.0,0.13,0,3.98,0.5,3.94,2.3139284,42.575688
25,6323,2.313955,42.575743,988.0,0.13,0,4.07,0.0,3.82,2.3139761,42.575733
26,6323,2.314005,42.57578,988.0,0.14,0,4.13,0.0,5.23,2.3139995,42.575783
27,6323,2.314042,42.575827,987.2,0.15,0,4.2,-0.7999999999999545,5.44,2.3140245,42.575835
28,6323,2.314056,42.575877,986.3,0.15,0,4.27,-0.900000000000091,5.1,2.3140459,42.575881
29,6323,2.314073,42.575931,985.7,0.16,0,4.35,-0.599999999999909,4.43,2.3140684,42.575933
