id,u,v,geometry
1,33960640,2096026601,"LINESTRING (2.4469106 41.8515651, 2.4467938 41.8516018, 2.4466355 41.8515934, 2.44645 41.8515956, 2.4462241 41.8516152, 2.4460002 41.8516718, 2.4458369 41.8517385, 2.4457129 41.8517992, 2.4456052 41.85186, 2.4454079 41.8519885, 2.4453045 41.8520526, 2.4451936 41.8520863, 2.445056 41.8521036, 2.4448936 41.8520934, 2.4447253 41.8520504, 2.4445287 41.8519794, 2.4440457 41.851833, 2.4439451 41.8518154, 2.443747 41.8518376)"
2,33960640,1229545836,"LINESTRING (2.4469106 41.8515651, 2.4467578 41.8515353, 2.4465906 41.8515182, 2.4463527 41.8515114, 2.4461191 41.8515142, 2.4458801 41.8515258, 2.4456412 41.8515566, 2.4453951 41.8515958, 2.4451576 41.8516521, 2.4449359 41.8517116, 2.4447228 41.851784, 2.4444405 41.8518897, 2.4441557 41.8520162, 2.4436043 41.852252, 2.4431421 41.8524393, 2.4428458 41.8525594, 2.442429 41.8527036, 2.4420685 41.8528202, 2.4416966 41.8529305, 2.4411873 41.8530646, 2.4406666 41.853188, 2.4403224 41.8532565, 2.44004 41.8533084, 2.4397275 41.8533591, 2.439501 41.8533921, 2.439263 41.8534229, 2.4388004 41.8534784, 2.4383487 41.8535109, 2.4378811 41.8535408, 2.4370142 41.8535781, 2.4360764 41.8536172, 2.4351314 41.853659, 2.4342518 41.8537158, 2.4337368 41.8537646, 2.4331854 41.8538208, 2.4330891 41.8538311, 2.4324552 41.8539293, 2.431847 41.8540211, 2.4316049 41.8540752, 2.4313924 41.8541171, 2.4311206 41.8541756, 2.4304852 41.8543168, 2.4298333 41.8544844)"
3,318177249,1537315980,"LINESTRING (2.3473921 41.801154, 2.3473243 41.8011587)"
4,318177249,2973507432,"LINESTRING (2.3473921 41.801154, 2.3474016 41.8011097)"
5,318177249,8261477987,"LINESTRING (2.3473921 41.801154, 2.3471243 41.8011241, 2.3468198 41.8011298, 2.3467184 41.8011347)"
6,318177249,842026008,"LINESTRING (2.3473921 41.801154, 2.3473835 41.8014085, 2.3473824 41.8015304, 2.3473757 41.8016066, 2.347368 41.8016522, 2.3473542 41.801686, 2.3473302 41.8017334, 2.3472679 41.8018154, 2.3471785 41.8019146)"
7,318177516,2794169107,"LINESTRING (2.3215795 41.8165549, 2.3215785 41.8165076, 2.3219828 41.8163097, 2.3223861 41.8161968, 2.3224727 41.816229, 2.3225295 41.8163027, 2.3226703 41.816695, 2.3227298 41.8168201, 2.3228002 41.8168463, 2.3230357 41.8168382, 2.3231967 41.8168423, 2.3233429 41.8169018, 2.3234619 41.8169139, 2.3235012 41.8169179, 2.3237637 41.8169008, 2.3238544 41.8168594, 2.3238734 41.8168201, 2.3239126 41.8167404, 2.3240182 41.8166638, 2.3241346 41.8165921, 2.3243078 41.8165135, 2.3244228 41.8164792, 2.3245148 41.8164822, 2.3246285 41.8165094, 2.3247341 41.8165851, 2.3247948 41.8166299, 2.3249073 41.8167162, 2.3249959 41.816752, 2.325739 41.8166219, 2.3258736 41.8166214, 2.3266355 41.8167626, 2.3267844 41.8167777, 2.3269765 41.8167061, 2.3272364 41.8165256, 2.3273555 41.8164832, 2.3274583 41.8164661, 2.3276018 41.8164872, 2.3279266 41.8166476, 2.3280809 41.8166829, 2.3281797 41.8166658, 2.3282125 41.816651, 2.3283204 41.8165932, 2.3284178 41.8165024, 2.3284706 41.8164701, 2.3285392 41.816462, 2.3287047 41.8164661, 2.3288766 41.8164832, 2.3290336 41.8165115, 2.3291283 41.8165104, 2.3292258 41.8164842, 2.3293117 41.816446, 2.3293625 41.8164025, 2.3293476 41.816338, 2.3292731 41.8162805, 2.3291568 41.816229, 2.3290327 41.8160942, 2.3288739 41.8158982, 2.3287362 41.8157023, 2.3285965 41.8155089, 2.328606 41.8152426, 2.3285978 41.8151397, 2.328541 41.8150822, 2.3283258 41.8149743, 2.3282081 41.8149108, 2.3281422 41.8148548, 2.3280673 41.8146526, 2.3280389 41.8144871, 2.3280048 41.8143892, 2.327913 41.8142502)"
8,318177516,4286184088,"LINESTRING (2.3215795 41.8165549, 2.321567 41.8165833, 2.3215268 41.8166753, 2.3215214 41.8167772, 2.3214785 41.8168292, 2.3214275 41.8169351, 2.321398 41.8170171, 2.321331 41.817101, 2.3212612 41.817165, 2.3212693 41.817189, 2.3211701 41.817243, 2.3210923 41.817255, 2.3209152 41.8172769, 2.3207516 41.8173249, 2.3205934 41.8173469, 2.3204351 41.8173549, 2.3203278 41.8173229, 2.3201803 41.8172969, 2.3200596 41.8172809, 2.3200044 41.8172733, 2.319943 41.817271, 2.3198738 41.8172501, 2.3198209 41.817211, 2.3197351 41.817111, 2.3196358 41.8169911, 2.3195929 41.8169131, 2.3195312 41.8168592, 2.3194642 41.8168092, 2.31944 41.8167452, 2.3193435 41.8166912, 2.3192281 41.8166673, 2.3190887 41.8166593, 2.3189036 41.8166952, 2.3187963 41.8167312, 2.318689 41.8167792, 2.3186139 41.8167852, 2.3183993 41.8167752, 2.3182491 41.8167172, 2.318107 41.8166892, 2.3180399 41.8166133, 2.317859 41.8164918, 2.3176601 41.8164038, 2.3174981 41.8163514, 2.3172916 41.8163094, 2.3170931 41.8162595, 2.3168785 41.8162255, 2.3166761 41.8161935, 2.3163823 41.8161655, 2.3162214 41.8161815, 2.31598 41.8162675, 2.31587 41.8163174, 2.3157547 41.8163614, 2.3156527 41.8164154, 2.315406 41.8164594, 2.3152772 41.8165633, 2.3151485 41.8166633, 2.3150653 41.8167612, 2.3150142 41.8168191, 2.3149731 41.8169246, 2.3148856 41.8169911, 2.3147515 41.8170171, 2.3146442 41.8170191, 2.3145101 41.8170051, 2.3143948 41.8169831, 2.3142741 41.8170111, 2.3142044 41.8170671, 2.3140837 41.817193, 2.3140461 41.817237, 2.3139013 41.8173069, 2.3138262 41.8173789, 2.3137242 41.8174249, 2.3136733 41.8174728, 2.3136009 41.8175028, 2.3133729 41.8176388, 2.3131985 41.8177327, 2.3129303 41.8177607, 2.3127184 41.8178087, 2.3126728 41.8178307, 2.3125628 41.8178906, 2.312418 41.8179526, 2.3123188 41.8179906, 2.3122201 41.8180265, 2.3121408 41.8180902, 2.3121209 41.818202, 2.3120961 41.8183384, 2.3121428 41.8183748, 2.3122895 41.818452, 2.3124609 41.8185203, 2.3126239 41.818627, 2.3126017 41.8186715)"
9,318177516,1932524318,"LINESTRING (2.3215795 41.8165549, 2.3215124 41.8165917, 2.3214654 41.8166426, 2.3213361 41.8168452, 2.3213126 41.8168862, 2.3212822 41.8169253, 2.3212126 41.8169737, 2.3211549 41.8169967, 2.3210706 41.8170168, 2.3207913 41.8170439, 2.320537 41.8170653, 2.3204079 41.8170833, 2.3202955 41.8171099, 2.3201327 41.8171701, 2.3200854 41.8171793, 2.3200436 41.8171821, 2.320012 41.8171813, 2.3199843 41.8171765, 2.3199478 41.8171637, 2.3199152 41.8171487, 2.3198413 41.8170805, 2.3196484 41.816799, 2.3195766 41.8166982, 2.3195189 41.816645, 2.3194497 41.8166016, 2.3193532 41.816561, 2.319248 41.816534, 2.3191367 41.8165303, 2.3190669 41.8165425, 2.318675 41.8166538, 2.3185721 41.8166792, 2.3184733 41.8166849, 2.3183948 41.8166696, 2.3182628 41.8166271, 2.3182051 41.816605, 2.3181617 41.8165813, 2.3181264 41.8165637, 2.3181018 41.8165394, 2.318066 41.8165042, 2.3180326 41.8164626, 2.3179741 41.8163813, 2.3178637 41.8162522, 2.3178004 41.8162086, 2.3177229 41.8161724, 2.3176082 41.8161562, 2.3174216 41.8161517, 2.3169862 41.8161475, 2.3168183 41.8161296, 2.3166496 41.8161022, 2.3164855 41.8160738, 2.3163265 41.8160639, 2.3162267 41.816071, 2.316126 41.8160951, 2.3160388 41.8161272, 2.3158905 41.8161962, 2.3157301 41.8162582, 2.3153774 41.8163487, 2.3152522 41.8164071, 2.315169 41.8164703, 2.3150159 41.8166073, 2.3148403 41.8167616, 2.3147434 41.8168208, 2.3146941 41.8168432, 2.3146413 41.816859, 2.3145801 41.8168684, 2.3144931 41.8168766, 2.3142461 41.8168763, 2.3141393 41.8168876, 2.3140504 41.8169081, 2.3139634 41.8169463, 2.3138677 41.8170057, 2.3137929 41.8170859, 2.3136637 41.8172708, 2.3135808 41.817339, 2.3134786 41.8173994, 2.313359 41.817454, 2.3132264 41.8175044, 2.3130432 41.8175539, 2.3128552 41.8175975, 2.3124831 41.8176826, 2.3123331 41.8177082, 2.3122302 41.8177068, 2.3121278 41.8176839, 2.3120596 41.8176561, 2.3119988 41.8176193, 2.3118661 41.8175166, 2.3117351 41.8173945, 2.3116432 41.8172773, 2.3115508 41.8171498, 2.3114458 41.8170338, 2.3104996 41.8162134)"
10,318177516,6340251563,"LINESTRING (2.3215795 41.8165549, 2.3218346 41.8164592, 2.3220698 41.8163882, 2.3221123 41.8163799, 2.3221652 41.8163751, 2.3222476 41.8163839, 2.3223327 41.8164238, 2.3223826 41.8164695, 2.3225671 41.816862, 2.322599 41.816912, 2.3226503 41.8169635, 2.3227237 41.8169986, 2.3228052 41.8170254, 2.3230466 41.8170977, 2.3231849 41.8171385, 2.3232931 41.8171633, 2.3234121 41.817179, 2.323661 41.8171858, 2.3240082 41.8171929, 2.3247092 41.8172068, 2.3247825 41.817207, 2.3248532 41.8172, 2.3251366 41.8171371, 2.3252685 41.8171147, 2.3255371 41.8170958, 2.325848 41.8170858, 2.3259322 41.8170898, 2.3260025 41.8171062, 2.3260657 41.8171297, 2.3264383 41.8173468, 2.3265785 41.8174225, 2.3267206 41.8174752, 2.3267951 41.8174865, 2.326873 41.8174886, 2.3271507 41.8174457, 2.3273277 41.817414, 2.3274049 41.8174033, 2.3274907 41.8173978, 2.327585 41.8174171, 2.327697 41.8174735, 2.3279277 41.8176323, 2.3280197 41.8176694, 2.3280971 41.8176864, 2.3281944 41.8176856, 2.3283057 41.817653, 2.3284102 41.8176196, 2.3285252 41.8176058, 2.3290443 41.8176278, 2.3292035 41.8176372, 2.3293458 41.817659, 2.3294866 41.8176864, 2.3295967 41.8176992, 2.3296932 41.8176912, 2.3297805 41.8176691, 2.3299543 41.8175653, 2.3301955 41.8174067, 2.3304151 41.8172628, 2.3306431 41.8171128, 2.3307574 41.8170374, 2.3308478 41.816956, 2.330925 41.8168729, 2.3309592 41.8168316, 2.3309871 41.816787, 2.3309934 41.816756, 2.3309926 41.8167192, 2.3309748 41.8166529, 2.330941 41.8165932, 2.3308943 41.8165375, 2.3308019 41.8164572, 2.3306606 41.8163641, 2.3303997 41.8161944, 2.3302989 41.8161214, 2.3302168 41.8160186, 2.3301556 41.8159082, 2.3301069 41.8157985, 2.3300872 41.8157468, 2.3300789 41.8156797, 2.330084 41.8155654, 2.3301112 41.815339, 2.3301264 41.8152051, 2.3301514 41.8150869, 2.3301978 41.8149709, 2.3302553 41.8148665, 2.3303281 41.8147701, 2.3304157 41.8146791, 2.3305223 41.8145968, 2.3306362 41.8145238, 2.3307639 41.8144487, 2.3309018 41.814384, 2.3311628 41.8142913, 2.3313255 41.8142466, 2.3314926 41.8142097, 2.3319235 41.8141211, 2.332001 41.8140979, 2.3320724 41.8140701, 2.3322517 41.8139863, 2.3323748 41.813928, 2.3325124 41.8138878, 2.332827 41.8138413, 2.3330002 41.8137938, 2.333143 41.8137249, 2.3332571 41.8136584, 2.3333667 41.8135838, 2.333561 41.8133877, 2.3336118 41.8133151, 2.3337513 41.8131622, 2.3338961 41.8130366, 2.3341957 41.8128703, 2.334365 41.8128021, 2.3345573 41.8127555, 2.3347206 41.8127239, 2.3349067 41.8127132, 2.3350852 41.8127298, 2.3352229 41.8127369, 2.3352883 41.8127254, 2.335349 41.8127035, 2.3355744 41.8126176, 2.3356849 41.8125823, 2.3357897 41.8125778, 2.3358718 41.8125903, 2.3359387 41.8126154, 2.3363708 41.8127941, 2.3371905 41.8132456, 2.3374563 41.8133485, 2.3377502 41.8134461, 2.3378872 41.8135178, 2.3380889 41.8136538, 2.3381768 41.8137055, 2.3382411 41.8137287, 2.3383085 41.8137366, 2.3384009 41.8137411, 2.338471 41.8137362, 2.3385366 41.8137198, 2.3386152 41.8136898, 2.3387236 41.8136284, 2.3387721 41.813602, 2.338836 41.8135822, 2.3389301 41.8135819, 2.3391543 41.8136061, 2.3392972 41.8136133, 2.3396504 41.8135906, 2.340203 41.8135399, 2.340265 41.8135254, 2.3403269 41.813504, 2.3404857 41.8133955, 2.3407082 41.8132206, 2.3407797 41.8131546, 2.3408389 41.8130908)"
