id,lat,lon,elev,elev_diff,dist_diff,time_diff,speed,pace,elap_elev_gain,elap_dist,elap_time,edge_id,osm_lat,osm_lon
1,41.801,2.347725,1146.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,257,41.800991,2.3477207
2,41.80104,2.347666,1147.1,0.2,6.62,10.0,0.66,25.25,0.2,0.01,0.17,257,41.801032,2.3476597
3,41.801083,2.347637,1147.3,0.2,5.35,9.0,0.59,28.25,0.4,0.01,0.32,257,41.801083,2.3476373
4,41.801129,2.347619,1148.4,1.1,5.32,10.0,0.53,31.45,1.5,0.02,0.48,257,41.80111,2.3476497
5,41.80116,2.347684,1149.5,1.1,6.41,4.0,1.6,10.42,2.6,0.02,0.55,257,41.801128,2.3476965
6,41.801182,2.34774,1150.1,0.6,5.26,5.0,1.05,15.87,3.2,0.03,0.63,257,41.801149,2.3477526
7,41.801199,2.347796,1151.3,1.2,5.02,6.0,0.84,19.84,4.4,0.03,0.73,257,41.801171,2.347807
8,41.801227,2.347844,1152.2,0.9,5.06,17.0,0.3,55.56,5.3,0.04,1.02,257,41.801186,2.3478459
9,41.801211,2.347909,1153.2,1.0,5.69,6.0,0.95,17.54,6.3,0.04,1.12,257,41.801172,2.347899
10,41.801196,2.347979,1154.6,1.4,6.05,4.0,1.51,11.04,7.7,0.05,1.18,257,41.801154,2.3479683
11,41.80121,2.348047,1156.0,1.4,5.86,6.0,0.98,17.01,9.1,0.06,1.28,258,41.801169,2.3480554
12,41.80123,2.348104,1156.8,0.8,5.23,7.0,0.75,22.22,9.9,0.06,1.4,258,41.801206,2.3481261
13,41.801275,2.348143,1157.2,0.4,5.96,7.0,0.85,19.61,10.3,0.07,1.52,258,41.801242,2.3481651
14,41.801303,2.348199,1158.6,1.4,5.6,7.0,0.8,20.83,11.7,0.07,1.63,258,41.801253,2.348211
15,41.801312,2.348266,1160.2,1.6,5.66,5.0,1.13,14.75,13.3,0.08,1.72,258,41.801269,2.3482764
