edge_id,avg_speed,avg_pace,pace_group,pace_color,time,dist,elev_gain,uphill_perc,uphill_perc_group,uphill_perc_color,geometry
257,0.5,26.16,From 15 to 30 min/km,#E53888,0.62,0.02,2.4,12.0,From 7.5% to 15%,#36C2CE,"LINESTRING (2.347752 41.801228, 2.34781 41.801245, 2.34788 41.801228, 2.347945 41.80122, 2.348008 41.801218)"
258,0.8,23.14,From 15 to 30 min/km,#E53888,0.76,0.03,3.4,11.33,From 7.5% to 15%,#36C2CE,"LINESTRING (2.348008 41.801218, 2.348065 41.801241, 2.34811 41.801276, 2.348153 41.801308, 2.348228 41.801333, 2.34829 41.80136, 2.348353 41.801382)"
410,0.99,19.08,From 15 to 30 min/km,#E53888,0.65,0.04,9.1,22.75,More than 22.5%,#4535C1,"LINESTRING (2.348353 41.801382, 2.348411 41.801404, 2.348481 41.801407, 2.348551 41.801397, 2.348583 41.80144, 2.34859 41.801495, 2.348562 41.801547)"
261,0.86,21.02,From 15 to 30 min/km,#E53888,10.14,0.48,131.1,27.31,More than 22.5%,#4535C1,"LINESTRING (2.348562 41.801547, 2.348512 41.801577, 2.348499 41.801627, 2.348537 41.801669, 2.348592 41.801696, 2.348655 41.801713, 2.348717 41.80173, 2.348775 41.80176, 2.348835 41.801768, 2.348897 41.80178, 2.348905 41.801827, 2.348918 41.801874, 2.348938 41.801924, 2.348941 41.801976, 2.348973 41.802021, 2.349001 41.802079, 2.348999 41.802124, 2.349004 41.802169, 2.349034 41.802214, 2.349121 41.802242, 2.349191 41.802272, 2.349214 41.802314, 2.349244 41.802369, 2.349316 41.802382, 2.349381 41.802397, 2.349444 41.80241, 2.349511 41.80244, 2.349534 41.802492, 2.349581 41.802527, 2.349619 41.802564, 2.349674 41.802589, 2.349724 41.802621, 2.349766 41.802658, 2.349818 41.802686, 2.349866 41.802721, 2.349878 41.802768, 2.349888 41.802821, 2.349911 41.802869, 2.349953 41.802906, 2.350006 41.802941, 2.350054 41.802973, 2.350089 41.803011, 2.350141 41.803036, 2.350193 41.803059, 2.350238 41.803096, 2.3503 41.803111, 2.350335 41.803149, 2.350363 41.803196, 2.350405 41.803241, 2.350458 41.803268, 2.35048 41.803315, 2.350503 41.803357, 2.350533 41.803397, 2.350588 41.803429, 2.350623 41.803469, 2.350645 41.803514, 2.350685 41.803552, 2.350732 41.803582, 2.350752 41.803625, 2.350792 41.803663, 2.350814 41.803713, 2.350847 41.803755, 2.350894 41.803788, 2.350952 41.803816, 2.350964 41.803866, 2.350976 41.803918, 2.351031 41.803955, 2.351081 41.803993, 2.351141 41.804016, 2.351193 41.804041, 2.351225 41.804086, 2.351272 41.804123, 2.351304 41.804166, 2.351357 41.804203, 2.351414 41.804231, 2.351464 41.804259, 2.351486 41.804309, 2.351521 41.804356, 2.351571 41.804399, 2.351619 41.804439, 2.351652 41.804481, 2.35168 41.804523, 2.351715 41.804566, 2.35173 41.804613, 2.351762 41.80466, 2.351792 41.804702, 2.351844 41.804727)"
262,1.03,19.28,From 15 to 30 min/km,#E53888,8.7,0.45,81.1,18.02,From 15% to 22.5%,#478CCF,"LINESTRING (2.351844 41.804727, 2.351899 41.80476, 2.351937 41.804802, 2.351975 41.804844, 2.352028 41.804874, 2.352055 41.804916, 2.352095 41.804954, 2.352122 41.804996, 2.352169 41.805029, 2.352214 41.805062, 2.352259 41.805092, 2.352307 41.80513, 2.352352 41.805163, 2.35239 41.805201, 2.352433 41.805241, 2.352471 41.805276, 2.352539 41.805286, 2.352596 41.805318, 2.352648 41.805356, 2.352701 41.805381, 2.352746 41.805413, 2.352794 41.805446, 2.352844 41.805476, 2.352897 41.805498, 2.35295 41.805526, 2.353015 41.805544, 2.353078 41.805551, 2.353136 41.805579, 2.353189 41.805612, 2.353222 41.80565, 2.353277 41.805675, 2.353319 41.805712, 2.353352 41.805752, 2.3534 41.805785, 2.353463 41.805797, 2.353525 41.80582, 2.353588 41.805842, 2.353666 41.80585, 2.353726 41.805875, 2.353793 41.805873, 2.353865 41.805876, 2.353932 41.805899, 2.353979 41.805934, 2.354032 41.805966, 2.354099 41.805994, 2.354147 41.806022, 2.354205 41.806039, 2.354283 41.806047, 2.354343 41.806065, 2.354393 41.806103, 2.354456 41.806115, 2.354503 41.806147, 2.354566 41.806154, 2.354629 41.806181, 2.354677 41.806213, 2.35474 41.806236, 2.354797 41.806261, 2.354845 41.806289, 2.354902 41.806324, 2.354974 41.806334, 2.355011 41.806374, 2.355053 41.806409, 2.355096 41.806442, 2.355136 41.806477, 2.355193 41.806505, 2.35526 41.80652, 2.355323 41.80655, 2.355393 41.806562, 2.35546 41.80656, 2.355522 41.80654, 2.355582 41.806523, 2.35565 41.806518, 2.355717 41.806533, 2.355775 41.806558, 2.355833 41.806583, 2.355875 41.80662, 2.355948 41.806643, 2.356015 41.806666, 2.356075 41.806678, 2.356137 41.806688, 2.356197 41.806693, 2.356257 41.8067)"
266,0.88,36.21,From 30 to 45 min/km,#F37199,1.61,0.04,5.5,13.75,From 7.5% to 15%,#36C2CE,"LINESTRING (2.356257 41.8067, 2.356334 41.80671, 2.356397 41.806722, 2.356464 41.806715, 2.356524 41.806703, 2.356532 41.806753, 2.356529 41.806806, 2.356534 41.806856, 2.356524 41.806904)"
265,0.49,575.62,More than 45 min/km,#F7A8C4,26.0,0.03,17.4,58.0,More than 22.5%,#4535C1,"LINESTRING (2.356524 41.806904, 2.356502 41.806949, 2.356564 41.806949, 2.356552 41.806897, 2.356565 41.806852, 2.356597 41.806804, 2.356614 41.806757)"
266,0.3,252.1,More than 45 min/km,#F7A8C4,5.4,0.03,0.6,2.0,Less than 7.5%,#77E4C8,"LINESTRING (2.356614 41.806757, 2.356587 41.80671, 2.356525 41.806698, 2.356568 41.806733, 2.356611 41.806775)"
1083,1.44,11.58,Less than 15 min/km,#AC1754,0.2,0.01,0.8,8.0,From 7.5% to 15%,#36C2CE,"LINESTRING (2.356611 41.806775, 2.356673 41.806798, 2.35674 41.80679, 2.356795 41.806812)"
268,1.43,12.07,Less than 15 min/km,#AC1754,4.04,0.34,15.8,4.65,Less than 7.5%,#77E4C8,"LINESTRING (2.356795 41.806812, 2.356857 41.806817, 2.356922 41.806832, 2.356984 41.806834, 2.357046 41.806837, 2.357114 41.806837, 2.357187 41.806819, 2.357259 41.806822, 2.357322 41.806825, 2.357397 41.80683, 2.357469 41.806818, 2.357527 41.806805, 2.357592 41.806795, 2.357659 41.806783, 2.357727 41.806765, 2.357789 41.806757, 2.357862 41.806749, 2.357929 41.806722, 2.357977 41.806684, 2.35804 41.806664, 2.358088 41.806631, 2.358156 41.806604, 2.358206 41.806572, 2.358258 41.806545, 2.358311 41.806518, 2.358361 41.806483, 2.358406 41.806443, 2.358458 41.806411, 2.35851 41.806388, 2.358573 41.806358, 2.358608 41.806316, 2.35867 41.806281, 2.358745 41.806266, 2.358805 41.806254, 2.358867 41.806239, 2.358925 41.806212, 2.358987 41.806205, 2.35905 41.806202, 2.35911 41.80619, 2.359168 41.806177, 2.359223 41.806152, 2.35929 41.806137, 2.359362 41.806137, 2.359432 41.806132, 2.359497 41.806134, 2.35957 41.806139, 2.359653 41.806151, 2.359728 41.806163, 2.359791 41.80617, 2.359864 41.806185, 2.359939 41.806193, 2.360007 41.806211, 2.360065 41.806224, 2.360135 41.806232, 2.360193 41.806252, 2.360256 41.806254, 2.360323 41.806266, 2.360391 41.806271, 2.360456 41.806283, 2.360534 41.806288)"
