avg_speed,avg_pace,pace_group,pace_color,time,dist,elev_gain,uphill_perc,uphill_perc_group,uphill_perc_color,map_tooltip,map_popup,geometry
1.05,26.82,From 15 to 30 min/km,#E53888,58.02,1.38,213.6,15.48,From 15% to 22.5%,#478CCF,Average pace <b>zone 1</b>,"<div style=""font-size: 10px;"">
                        <b>Average pace zone 1</b><br>
                        <ul style=""padding-left: 16px; margin: 4px 0;"">
                            <li><b>Distance</b>: 1.38 km</li>
                            <li><b>Time</b>: 58 min</li>
                            <li><b>Average pace</b>: 26:49 min/km</li>
                            <li><b>Elevation gain</b>: 213.60 meters</li>
                            <li><b>Uphill percentage</b>: 15.48 %</li>
                        </ul></div>","LINESTRING (2.347752 41.800931, 2.347729 41.801015, 2.348017 41.801185, 2.348081 41.801194, 2.348132 41.801222, 2.348181 41.801254, 2.348239 41.801283, 2.348301 41.801307, 2.348362 41.801326, 2.348412 41.801357, 2.348477 41.801374, 2.348539 41.801379, 2.348603 41.80139, 2.348628 41.801432, 2.348634 41.801479, 2.348585 41.801519, 2.348528 41.801543, 2.348557 41.801585, 2.348612 41.801607, 2.348646 41.801646, 2.348691 41.801684, 2.348758 41.801688, 2.348812 41.801715, 2.348876 41.801727, 2.348932 41.801748, 2.348982 41.80178, 2.348978 41.801825, 2.349001 41.801873, 2.348999 41.801921, 2.34898 41.801975, 2.348998 41.802019, 2.348972 41.802064, 2.349017 41.802097, 2.349065 41.802131, 2.349095 41.802172, 2.34915 41.802201, 2.349211 41.802214, 2.349247 41.802252, 2.349236 41.802296, 2.349275 41.802331, 2.349338 41.802353, 2.349392 41.802376, 2.349456 41.802385, 2.349516 41.802406, 2.349572 41.802427, 2.349611 41.802463, 2.349668 41.8025, 2.349721 41.802529, 2.349765 41.802567, 2.34982 41.802593, 2.349864 41.802624, 2.349916 41.802658, 2.349941 41.802708, 2.349962 41.802754, 2.349959 41.802802, 2.34998 41.802854, 2.350032 41.802882, 2.35009 41.802919, 2.350122 41.802958, 2.350169 41.802992, 2.350227 41.803015, 2.350277 41.803046, 2.350319 41.803082, 2.350375 41.803107, 2.350428 41.803135, 2.350432 41.80318, 2.350451 41.803226, 2.350496 41.803265, 2.350533 41.803312, 2.350573 41.803355, 2.350608 41.803397, 2.350654 41.803436, 2.350695 41.803477, 2.350732 41.803515, 2.350767 41.803565, 2.3508 41.803611, 2.350847 41.803649, 2.350875 41.80369, 2.350908 41.803729, 2.350955 41.803765, 2.350978 41.803807, 2.351 41.803851, 2.351024 41.803898, 2.351056 41.803937, 2.35111 41.803971, 2.351176 41.803996, 2.351226 41.804029, 2.351277 41.804067, 2.351322 41.804103, 2.35138 41.80413, 2.351421 41.804167, 2.351466 41.804197, 2.351529 41.804223, 2.35156 41.804269, 2.351574 41.804315, 2.351602 41.804357, 2.351636 41.804395, 2.351662 41.804436, 2.351711 41.804487, 2.351747 41.804528, 2.351778 41.804567, 2.351808 41.80461, 2.351834 41.804658, 2.351846 41.804707, 2.3519 41.804745, 2.351945 41.80478, 2.351991 41.804816, 2.352034 41.804852, 2.352082 41.804897, 2.35213 41.804939, 2.352159 41.804984, 2.35221 41.805009, 2.352273 41.805036, 2.352308 41.80508, 2.352318 41.805126, 2.352374 41.805171, 2.352414 41.805212, 2.352464 41.805239, 2.352535 41.805268, 2.352599 41.805301, 2.352655 41.805325, 2.35271 41.805349, 2.352763 41.805389, 2.352813 41.805431, 2.352855 41.805467, 2.352921 41.805481, 2.352987 41.805504, 2.353042 41.805527, 2.353109 41.805543, 2.353153 41.805575, 2.353208 41.805597, 2.353256 41.805633, 2.353305 41.805673, 2.353354 41.805701, 2.353396 41.805738, 2.353461 41.805756, 2.353509 41.805787, 2.353562 41.805813, 2.353629 41.805828, 2.353696 41.805847, 2.353755 41.805859, 2.353816 41.805866, 2.353883 41.80587, 2.35394 41.805884, 2.353995 41.80591, 2.35404 41.805941, 2.354102 41.805978, 2.354158 41.80601, 2.354216 41.806027, 2.35428 41.806044, 2.35435 41.806062, 2.354401 41.806097, 2.354461 41.806118, 2.354518 41.806134, 2.354584 41.806146, 2.354646 41.806166, 2.3547 41.806197, 2.354751 41.806226, 2.354797 41.806263, 2.354864 41.806279, 2.354898 41.806316, 2.354957 41.806343, 2.355012 41.806371, 2.354974 41.806409, 2.355024 41.806443, 2.355095 41.806456, 2.355162 41.806469, 2.355216 41.806501, 2.355272 41.806519, 2.355326 41.80654, 2.355371 41.806575, 2.355446 41.806571, 2.355503 41.806554, 2.35556 41.806527, 2.355626 41.806516, 2.355688 41.806517, 2.355742 41.806551, 2.355816 41.806561, 2.355871 41.80658, 2.35592 41.806606, 2.355989 41.80663, 2.356053 41.806657, 2.35611 41.806675, 2.356173 41.806677, 2.35625 41.806685, 2.356318 41.806688, 2.356379 41.806702, 2.356445 41.806718, 2.356506 41.806723, 2.356572 41.806729, 2.356625 41.806706, 2.356606 41.806663, 2.356556 41.806692, 2.356603 41.806723, 2.356666 41.806732, 2.35674 41.806742, 2.356814 41.806759, 2.35688 41.806769, 2.356949 41.806778, 2.357022 41.806784, 2.357084 41.806779, 2.357143 41.806768, 2.357205 41.80677, 2.35727 41.806771, 2.357334 41.806767, 2.357409 41.806757, 2.357482 41.806751, 2.357555 41.806751, 2.357619 41.806748, 2.357697 41.806743, 2.357766 41.806745, 2.357834 41.806734, 2.357909 41.806704, 2.357959 41.806674, 2.358015 41.806648, 2.358075 41.80661, 2.358121 41.806576, 2.358174 41.806545, 2.358223 41.806513, 2.358288 41.806488, 2.358347 41.806453, 2.358398 41.806408, 2.358448 41.806376, 2.358503 41.806347, 2.358546 41.806307, 2.35859 41.806275, 2.358646 41.806252, 2.358706 41.80624, 2.358771 41.806223, 2.358837 41.806211, 2.358907 41.806186, 2.35897 41.806166, 2.359038 41.806153, 2.359098 41.80615, 2.359163 41.806135, 2.359232 41.806117, 2.359297 41.806104, 2.359356 41.806086, 2.359435 41.806085, 2.359508 41.806083, 2.359581 41.806081, 2.359644 41.806081, 2.359712 41.806082, 2.359791 41.806091)"
1.39,13.16,Less than 15 min/km,#AC1754,2.98,0.23,16.3,7.09,Less than 7.5%,#77E4C8,Average pace <b>zone 2</b>,"<div style=""font-size: 10px;"">
                        <b>Average pace zone 2</b><br>
                        <ul style=""padding-left: 16px; margin: 4px 0;"">
                            <li><b>Distance</b>: 0.23 km</li>
                            <li><b>Time</b>: 2 min</li>
                            <li><b>Average pace</b>: 13:10 min/km</li>
                            <li><b>Elevation gain</b>: 16.30 meters</li>
                            <li><b>Uphill percentage</b>: 7.09 %</li>
                        </ul></div>","LINESTRING (2.359791 41.806091, 2.359855 41.806105, 2.359935 41.806114, 2.359997 41.806129, 2.360091 41.80615, 2.36016 41.806156, 2.36023 41.806174, 2.360293 41.806185, 2.36037 41.806199, 2.360441 41.806212, 2.360503 41.80622, 2.360574 41.806242, 2.360645 41.806258, 2.360712 41.806273, 2.360788 41.806266, 2.360846 41.806289, 2.360928 41.806296, 2.361 41.806308, 2.361066 41.806321, 2.36113 41.806333, 2.361202 41.806347, 2.361271 41.806361, 2.361344 41.806372, 2.361408 41.806376, 2.361476 41.806363, 2.361546 41.806362, 2.36161 41.806376, 2.361668 41.806396, 2.361735 41.806408, 2.361797 41.806404, 2.361861 41.806427, 2.361927 41.806444, 2.361993 41.80644, 2.362047 41.806465, 2.362097 41.806493, 2.362159 41.806515, 2.362214 41.806544, 2.36228 41.806569, 2.362332 41.8066, 2.36238 41.806636)"
0.77,57.21,More than 45 min/km,#F7A8C4,25.52,0.51,131.4,25.76,More than 22.5%,#4535C1,Average pace <b>zone 3</b>,"<div style=""font-size: 10px;"">
                        <b>Average pace zone 3</b><br>
                        <ul style=""padding-left: 16px; margin: 4px 0;"">
                            <li><b>Distance</b>: 0.51 km</li>
                            <li><b>Time</b>: 25 min</li>
                            <li><b>Average pace</b>: 57:13 min/km</li>
                            <li><b>Elevation gain</b>: 131.40 meters</li>
                            <li><b>Uphill percentage</b>: 25.76 %</li>
                        </ul></div>","LINESTRING (2.36238 41.806636, 2.36245 41.806643, 2.36252 41.806638, 2.362581 41.806662, 2.362654 41.806661, 2.362727 41.806652, 2.362786 41.806632, 2.362844 41.80661, 2.362909 41.806602, 2.362977 41.806605, 2.36304 41.8066, 2.363098 41.806579, 2.363166 41.806554, 2.363233 41.806544, 2.363295 41.806562, 2.363353 41.80658, 2.363416 41.806571, 2.363485 41.806573, 2.363549 41.806561, 2.363613 41.806561, 2.363678 41.806552, 2.363742 41.806531, 2.363791 41.8065, 2.363839 41.806458, 2.363872 41.806414, 2.363917 41.806377, 2.363975 41.806361, 2.364029 41.806327, 2.364093 41.806299, 2.36414 41.806266, 2.364202 41.806249, 2.364241 41.806205, 2.364298 41.806182, 2.364359 41.806158, 2.364397 41.806118, 2.364459 41.806091, 2.364503 41.806054, 2.36454 41.806013, 2.364603 41.806002, 2.364663 41.805994, 2.364708 41.805962, 2.364746 41.805921, 2.36479 41.805888, 2.364814 41.80584, 2.364839 41.805799, 2.364868 41.805757, 2.364885 41.805701, 2.364925 41.805661, 2.364962 41.805619, 2.364996 41.805577, 2.365003 41.805532, 2.365052 41.805495, 2.365076 41.805451, 2.365125 41.805421, 2.365182 41.805392, 2.365217 41.805352, 2.365285 41.805317, 2.365331 41.805283, 2.365378 41.805247, 2.365427 41.805215, 2.365479 41.805174, 2.365525 41.805142, 2.365582 41.805121, 2.365644 41.805099, 2.365679 41.805054, 2.365722 41.805013, 2.365769 41.804979, 2.365813 41.804941, 2.365845 41.804895, 2.365899 41.804863, 2.365952 41.804841, 2.366013 41.804839, 2.366074 41.804818, 2.366127 41.804792, 2.366175 41.804762, 2.366237 41.804753, 2.366301 41.804748, 2.366362 41.804741, 2.366425 41.804735, 2.36648 41.804707, 2.366534 41.804686, 2.366593 41.804669, 2.366636 41.8047, 2.366637 41.804651, 2.366644 41.804696, 2.366662 41.80474, 2.366648 41.804692, 2.366662 41.804645, 2.366721 41.804634, 2.366791 41.804634, 2.366864 41.804614, 2.366924 41.804596, 2.366971 41.804563)"
1.39,12.59,Less than 15 min/km,#AC1754,9.2,0.73,36.1,4.95,Less than 7.5%,#77E4C8,Average pace <b>zone 4</b>,"<div style=""font-size: 10px;"">
                        <b>Average pace zone 4</b><br>
                        <ul style=""padding-left: 16px; margin: 4px 0;"">
                            <li><b>Distance</b>: 0.73 km</li>
                            <li><b>Time</b>: 9 min</li>
                            <li><b>Average pace</b>: 12:35 min/km</li>
                            <li><b>Elevation gain</b>: 36.10 meters</li>
                            <li><b>Uphill percentage</b>: 4.95 %</li>
                        </ul></div>","LINESTRING (2.366971 41.804563, 2.367025 41.804538, 2.367093 41.804508, 2.367145 41.804481, 2.36722 41.804457, 2.367286 41.80444, 2.36735 41.804429, 2.367416 41.804417, 2.367473 41.80439, 2.367543 41.804388, 2.367605 41.804392, 2.367662 41.804371, 2.367732 41.804375, 2.367808 41.804373, 2.36788 41.804379, 2.367949 41.804377, 2.368017 41.804383, 2.368079 41.804385, 2.368146 41.804392, 2.368198 41.804418, 2.368252 41.804453, 2.368321 41.80446, 2.368372 41.804494, 2.368434 41.804509, 2.368501 41.80453, 2.368557 41.804559, 2.368618 41.804589, 2.368673 41.804609, 2.368744 41.804622, 2.368816 41.804633, 2.368876 41.804624, 2.368945 41.804633, 2.369012 41.804631, 2.369075 41.80462, 2.369136 41.804623, 2.369211 41.80463, 2.369272 41.804629, 2.369333 41.804634, 2.369401 41.804633, 2.369456 41.804615, 2.36952 41.804607, 2.369583 41.804598, 2.369656 41.804588, 2.369715 41.804564, 2.369784 41.804555, 2.369858 41.804545, 2.369933 41.804543, 2.369993 41.804531, 2.370066 41.804515, 2.370132 41.804502, 2.370201 41.804505, 2.370264 41.804511, 2.370339 41.804509, 2.370403 41.804516, 2.370477 41.804509, 2.370552 41.804493, 2.370627 41.804482, 2.370687 41.804475, 2.370758 41.80448, 2.37082 41.804489, 2.370897 41.804489, 2.370957 41.804505, 2.371022 41.80452, 2.371099 41.804527, 2.371163 41.804521, 2.371223 41.80452, 2.371285 41.804522, 2.371344 41.804534, 2.371405 41.804537, 2.371467 41.804543, 2.371528 41.804555, 2.371593 41.80456, 2.371658 41.804567, 2.371722 41.804574, 2.371799 41.804583, 2.371873 41.8046, 2.371933 41.804608, 2.372005 41.804609, 2.372068 41.804613, 2.372133 41.804625, 2.372208 41.804634, 2.372267 41.804644, 2.372343 41.804647, 2.372411 41.804647, 2.372473 41.804664, 2.372533 41.804675, 2.372598 41.804701, 2.37267 41.804721, 2.372743 41.804743, 2.372797 41.804771, 2.372867 41.804796, 2.372924 41.804823, 2.372982 41.804845, 2.373037 41.804871, 2.373104 41.804882, 2.373171 41.804897, 2.373231 41.804913, 2.373297 41.804929, 2.373353 41.804956, 2.373423 41.804982, 2.373484 41.804999, 2.373558 41.805012, 2.373628 41.805022, 2.373704 41.805018, 2.37377 41.805036, 2.373827 41.805052, 2.373901 41.80505, 2.373959 41.805073, 2.374026 41.805095, 2.374083 41.805111, 2.374154 41.805119, 2.374217 41.805145, 2.374284 41.805164, 2.374343 41.80519, 2.374405 41.805174, 2.374474 41.80519, 2.374539 41.805203, 2.374596 41.805221, 2.374673 41.805243, 2.374724 41.805268, 2.374792 41.805278, 2.374857 41.80528, 2.374921 41.805295, 2.374979 41.805309, 2.375043 41.80532, 2.375108 41.805326, 2.375171 41.805346, 2.375241 41.805348, 2.375305 41.805381, 2.37536 41.8054)"
1.22,14.2,Less than 15 min/km,#AC1754,2.73,0.19,19.8,10.42,From 7.5% to 15%,#36C2CE,Average pace <b>zone 5</b>,"<div style=""font-size: 10px;"">
                        <b>Average pace zone 5</b><br>
                        <ul style=""padding-left: 16px; margin: 4px 0;"">
                            <li><b>Distance</b>: 0.19 km</li>
                            <li><b>Time</b>: 2 min</li>
                            <li><b>Average pace</b>: 14:12 min/km</li>
                            <li><b>Elevation gain</b>: 19.80 meters</li>
                            <li><b>Uphill percentage</b>: 10.42 %</li>
                        </ul></div>","LINESTRING (2.37536 41.8054, 2.375428 41.805415, 2.375489 41.80542, 2.375567 41.805437, 2.375629 41.805466, 2.375702 41.80547, 2.375763 41.805487, 2.375827 41.805485, 2.37589 41.805479, 2.375953 41.8055, 2.376022 41.805498, 2.376092 41.8055, 2.376161 41.805505, 2.376223 41.805494, 2.37629 41.805507, 2.376364 41.805514, 2.376442 41.805519, 2.376508 41.805526, 2.37657 41.805531, 2.37663 41.805553, 2.376693 41.805569, 2.376751 41.805599, 2.376808 41.805629, 2.376872 41.805645, 2.376931 41.805668, 2.376986 41.805694, 2.377043 41.805726, 2.377112 41.805743, 2.377162 41.805774, 2.37722 41.805791, 2.377286 41.805797, 2.377346 41.805804, 2.377409 41.805823, 2.377474 41.805834, 2.377539 41.805832)"
1.01,87.2,More than 45 min/km,#F7A8C4,13.92,0.14,20.3,14.5,From 7.5% to 15%,#36C2CE,Average pace <b>zone 6</b>,"<div style=""font-size: 10px;"">
                        <b>Average pace zone 6</b><br>
                        <ul style=""padding-left: 16px; margin: 4px 0;"">
                            <li><b>Distance</b>: 0.14 km</li>
                            <li><b>Time</b>: 13 min</li>
                            <li><b>Average pace</b>: 87:12 min/km</li>
                            <li><b>Elevation gain</b>: 20.30 meters</li>
                            <li><b>Uphill percentage</b>: 14.50 %</li>
                        </ul></div>","LINESTRING (2.377539 41.805832, 2.377561 41.80588, 2.377583 41.805925, 2.377615 41.805969, 2.377647 41.806009, 2.377697 41.806045, 2.377751 41.806071, 2.377787 41.806112, 2.377819 41.806161, 2.377851 41.806205, 2.377888 41.80626, 2.377936 41.806292, 2.377981 41.806332, 2.378023 41.806378, 2.37804 41.806432, 2.37809 41.80647, 2.378133 41.806515, 2.378174 41.806555, 2.378232 41.806581, 2.378275 41.806614, 2.378338 41.806627, 2.378388 41.806656, 2.378432 41.806692, 2.378481 41.80673, 2.37853 41.806761)"
1.13,15.42,From 15 to 30 min/km,#E53888,1.21,0.08,13.4,16.75,From 15% to 22.5%,#478CCF,Average pace <b>zone 7</b>,"<div style=""font-size: 10px;"">
                        <b>Average pace zone 7</b><br>
                        <ul style=""padding-left: 16px; margin: 4px 0;"">
                            <li><b>Distance</b>: 0.08 km</li>
                            <li><b>Time</b>: 1 min</li>
                            <li><b>Average pace</b>: 15:25 min/km</li>
                            <li><b>Elevation gain</b>: 13.40 meters</li>
                            <li><b>Uphill percentage</b>: 16.75 %</li>
                        </ul></div>","LINESTRING (2.37853 41.806761, 2.378581 41.806791, 2.378638 41.806813, 2.378705 41.806833, 2.378764 41.806845, 2.378833 41.806861, 2.378896 41.806888, 2.378953 41.806912, 2.379011 41.806942, 2.379061 41.806969, 2.379119 41.806993, 2.379166 41.807032, 2.379204 41.807079, 2.379244 41.807123, 2.379274 41.807169)"
0.92,91.42,More than 45 min/km,#F7A8C4,71.45,0.77,97.9,12.71,From 7.5% to 15%,#36C2CE,Average pace <b>zone 8</b>,"<div style=""font-size: 10px;"">
                        <b>Average pace zone 8</b><br>
                        <ul style=""padding-left: 16px; margin: 4px 0;"">
                            <li><b>Distance</b>: 0.77 km</li>
                            <li><b>Time</b>: 1 h, 11 min</li>
                            <li><b>Average pace</b>: 91:25 min/km</li>
                            <li><b>Elevation gain</b>: 97.90 meters</li>
                            <li><b>Uphill percentage</b>: 12.71 %</li>
                        </ul></div>","LINESTRING (2.379274 41.807169, 2.379292 41.807219, 2.379341 41.807259, 2.379398 41.807288, 2.379456 41.807311, 2.379517 41.80732, 2.379585 41.807321, 2.379655 41.807305, 2.37972 41.80729, 2.379781 41.807296, 2.379833 41.807322, 2.379895 41.807317, 2.379954 41.807307, 2.380006 41.807336, 2.380066 41.807324, 2.380129 41.807314, 2.380175 41.807347, 2.380229 41.80737, 2.380232 41.807415, 2.380204 41.80746, 2.380167 41.807497, 2.380139 41.80754, 2.380192 41.807566, 2.380258 41.807565, 2.380309 41.807596, 2.380357 41.807629, 2.380426 41.807626, 2.380481 41.80765, 2.380539 41.807663, 2.380605 41.807685, 2.380666 41.807694, 2.380719 41.807721, 2.380779 41.807741, 2.380832 41.807768, 2.380896 41.807788, 2.380961 41.807805, 2.381021 41.807817, 2.381076 41.807838, 2.381136 41.807857, 2.381205 41.807844, 2.381273 41.80784, 2.381337 41.807848, 2.381387 41.807877, 2.381422 41.807915, 2.381487 41.807928, 2.38154 41.807959, 2.381602 41.807978, 2.381653 41.808009, 2.381683 41.808052, 2.381732 41.808087, 2.381788 41.80811, 2.381852 41.808145, 2.381896 41.80818, 2.381943 41.808218, 2.381981 41.808255, 2.382039 41.80828, 2.382081 41.808313, 2.382143 41.808336, 2.382197 41.808367, 2.382256 41.808388, 2.382302 41.808427, 2.382354 41.808453, 2.382408 41.808496, 2.382456 41.808535, 2.382498 41.808571, 2.382545 41.808608, 2.382612 41.808631, 2.382669 41.808659, 2.382725 41.808678, 2.38276 41.808716, 2.38273 41.808766, 2.382685 41.808732, 2.382668 41.808776, 2.382667 41.808821, 2.382681 41.808775, 2.382624 41.80875, 2.382558 41.808757, 2.382498 41.808772, 2.382452 41.808803, 2.382425 41.808847, 2.38245 41.808803, 2.382496 41.808834, 2.382444 41.808862, 2.382498 41.80884, 2.382458 41.808804, 2.382443 41.808852, 2.382486 41.80882, 2.382434 41.808795, 2.382371 41.808778, 2.382426 41.8088, 2.382479 41.808778, 2.382423 41.808798, 2.382358 41.808795, 2.382292 41.808785, 2.382238 41.808759, 2.382177 41.808758, 2.38212 41.80873, 2.382063 41.808705, 2.382 41.80869, 2.381941 41.808709, 2.381878 41.808704, 2.381815 41.808688, 2.381746 41.808702, 2.381691 41.808723, 2.38162 41.808733, 2.381557 41.808731, 2.381494 41.808706, 2.381424 41.80871, 2.381362 41.808735, 2.3813 41.808729, 2.381234 41.808744, 2.381175 41.808757, 2.381116 41.808773, 2.381053 41.808789, 2.381009 41.808826, 2.380952 41.808856, 2.38089 41.80887, 2.380834 41.808897, 2.38078 41.808935, 2.380769 41.80898, 2.380711 41.80901, 2.380651 41.809019, 2.380593 41.809044, 2.380532 41.809064, 2.380469 41.809088, 2.38043 41.809129, 2.380363 41.80914, 2.380305 41.809118, 2.380245 41.809096, 2.380184 41.809077, 2.380113 41.809083, 2.380044 41.809092, 2.379985 41.809108, 2.379914 41.809106, 2.379844 41.80909, 2.379788 41.809072, 2.379729 41.809061, 2.379645 41.809059, 2.379583 41.809053, 2.379508 41.809058, 2.379439 41.80907)"
1.36,12.4,Less than 15 min/km,#AC1754,4.02,0.32,0.0,0.0,Less than 7.5%,#77E4C8,Average pace <b>zone 9</b>,"<div style=""font-size: 10px;"">
                        <b>Average pace zone 9</b><br>
                        <ul style=""padding-left: 16px; margin: 4px 0;"">
                            <li><b>Distance</b>: 0.32 km</li>
                            <li><b>Time</b>: 4 min</li>
                            <li><b>Average pace</b>: 12:24 min/km</li>
                            <li><b>Elevation gain</b>: 0.00 meters</li>
                            <li><b>Uphill percentage</b>: 0.00 %</li>
                        </ul></div>","LINESTRING (2.379439 41.80907, 2.379373 41.809082, 2.379311 41.809097, 2.37925 41.809115, 2.379188 41.809131, 2.379121 41.809143, 2.379063 41.809166, 2.379001 41.809186, 2.378939 41.809207, 2.378881 41.809231, 2.378824 41.809247, 2.378762 41.809266, 2.3787 41.809279, 2.378635 41.809301, 2.378577 41.809326, 2.378527 41.809351, 2.378485 41.809391, 2.378435 41.809423, 2.378381 41.809456, 2.378319 41.809491, 2.378266 41.809522, 2.378212 41.809548, 2.378149 41.809569, 2.378093 41.809589, 2.378032 41.809603, 2.377969 41.80963, 2.377897 41.809644, 2.377836 41.809668, 2.377768 41.809694, 2.377699 41.809722, 2.377639 41.809751, 2.377579 41.809773, 2.377527 41.809807, 2.377478 41.809847, 2.377439 41.809883, 2.377388 41.809916, 2.377351 41.809958, 2.377328 41.810004, 2.37732 41.81005, 2.377302 41.810102, 2.377277 41.810146, 2.377245 41.810185, 2.37722 41.810226, 2.377182 41.810263, 2.377145 41.810302, 2.377113 41.810346, 2.377096 41.810395, 2.377093 41.810446, 2.377064 41.810492, 2.377048 41.81054, 2.37706 41.810587, 2.377075 41.810638, 2.377098 41.810681, 2.377101 41.810735, 2.37714 41.810771, 2.377125 41.810819, 2.377114 41.810874, 2.377124 41.810924, 2.37709 41.810963)"
1.32,21.26,From 15 to 30 min/km,#E53888,27.33,1.22,9.2,0.75,Less than 7.5%,#77E4C8,Average pace <b>zone 10</b>,"<div style=""font-size: 10px;"">
                        <b>Average pace zone 10</b><br>
                        <ul style=""padding-left: 16px; margin: 4px 0;"">
                            <li><b>Distance</b>: 1.22 km</li>
                            <li><b>Time</b>: 27 min</li>
                            <li><b>Average pace</b>: 21:16 min/km</li>
                            <li><b>Elevation gain</b>: 9.20 meters</li>
                            <li><b>Uphill percentage</b>: 0.75 %</li>
                        </ul></div>","LINESTRING (2.37709 41.810963, 2.377051 41.810999, 2.377026 41.811048, 2.376993 41.811094, 2.376959 41.811139, 2.376929 41.811195, 2.376868 41.811207, 2.376799 41.811228, 2.37675 41.811262, 2.376706 41.811307, 2.376663 41.811345, 2.376598 41.811361, 2.376537 41.811376, 2.376515 41.811332, 2.376442 41.811325, 2.376382 41.811333, 2.376309 41.811332, 2.376243 41.811355, 2.376173 41.811369, 2.376119 41.81139, 2.376057 41.811403, 2.375989 41.811419, 2.375933 41.811441, 2.375899 41.811481, 2.375834 41.811505, 2.375765 41.811513, 2.37569 41.811516, 2.375622 41.811515, 2.375547 41.811513, 2.375487 41.811502, 2.375426 41.811494, 2.375363 41.811469, 2.375307 41.81145, 2.375276 41.811407, 2.375253 41.81135, 2.375236 41.8113, 2.375192 41.811252, 2.375133 41.81122, 2.3751 41.81117, 2.375064 41.811131, 2.375039 41.811089, 2.375019 41.811037, 2.374992 41.810993, 2.374964 41.810946, 2.374925 41.810912, 2.374888 41.810872, 2.37485 41.810828, 2.374822 41.810779, 2.374832 41.81073, 2.374805 41.810687, 2.374926 41.810485, 2.374748 41.810432, 2.37476 41.810513, 2.374808 41.810475, 2.374756 41.810447, 2.374694 41.81049, 2.374657 41.81054, 2.374585 41.810551, 2.3745 41.810552, 2.374439 41.810551, 2.374407 41.810511, 2.374357 41.810479, 2.374299 41.810454, 2.374248 41.810411, 2.374177 41.810404, 2.374101 41.810365, 2.374049 41.810327, 2.374005 41.810294, 2.373946 41.810263, 2.3739 41.810222, 2.373858 41.81017, 2.373828 41.810121, 2.373806 41.81007, 2.373776 41.810029, 2.37373 41.809993, 2.373674 41.809969, 2.373637 41.809932, 2.373596 41.809889, 2.373545 41.809864, 2.373482 41.809843, 2.373416 41.809831, 2.373355 41.80982, 2.373295 41.809813, 2.373223 41.809798, 2.373165 41.809783, 2.373107 41.809762, 2.37304 41.809745, 2.372974 41.809734, 2.372918 41.809762, 2.372859 41.809784, 2.372796 41.809809, 2.372749 41.809837, 2.372691 41.809855, 2.372638 41.809886, 2.372574 41.809904, 2.372506 41.809921, 2.372439 41.809946, 2.372385 41.809969, 2.372329 41.810001, 2.372265 41.810025, 2.372204 41.810053, 2.372146 41.810077, 2.372091 41.810108, 2.372036 41.810132, 2.371977 41.810165, 2.371929 41.810199, 2.371886 41.810232, 2.371829 41.810264, 2.371773 41.810289, 2.371716 41.810316, 2.371656 41.810323, 2.37161 41.810293, 2.371564 41.810326, 2.371504 41.810348, 2.371445 41.810337, 2.371374 41.810353, 2.37131 41.810349, 2.371244 41.810338, 2.371173 41.810335, 2.371112 41.810332, 2.371043 41.810349, 2.37097 41.810349, 2.3709 41.81036, 2.370831 41.810371, 2.370755 41.81038, 2.370687 41.81039, 2.370632 41.810415, 2.370573 41.810431, 2.370494 41.810455, 2.370423 41.81047, 2.370364 41.810488, 2.370293 41.810487, 2.370226 41.810501, 2.370163 41.810496, 2.370091 41.810496, 2.370023 41.810499, 2.369958 41.810513, 2.369908 41.81054, 2.369849 41.810572, 2.36979 41.810606, 2.369731 41.810629, 2.369665 41.810645, 2.369604 41.81067, 2.369553 41.810703, 2.36949 41.810713, 2.369432 41.810746, 2.369367 41.810763, 2.369306 41.810778, 2.36925 41.810796, 2.369192 41.810811, 2.369116 41.810823, 2.369053 41.810827, 2.368997 41.810852, 2.368957 41.810887, 2.368893 41.810908, 2.368832 41.810928, 2.368782 41.810959, 2.368711 41.810978, 2.368649 41.810992, 2.368601 41.811022, 2.368557 41.811064, 2.368508 41.811103, 2.368453 41.81113, 2.368403 41.811159, 2.368343 41.811181, 2.368266 41.811191, 2.368206 41.811222, 2.368139 41.811242, 2.368073 41.811271, 2.368012 41.811288, 2.367944 41.811308, 2.367873 41.811321, 2.36781 41.811325, 2.367738 41.811344, 2.367667 41.811349, 2.367597 41.811368, 2.367527 41.811383, 2.367448 41.811391, 2.367376 41.811404, 2.367309 41.811425, 2.367245 41.811447, 2.367194 41.811474, 2.36713 41.811483, 2.367064 41.811493, 2.366996 41.811482, 2.366922 41.811473, 2.366849 41.811469, 2.36677 41.811477, 2.3667 41.811483, 2.366635 41.811479, 2.366572 41.811473, 2.366512 41.811466, 2.366451 41.811472, 2.366378 41.811476, 2.366322 41.811492, 2.366256 41.811507, 2.366197 41.811521, 2.366131 41.81153, 2.366065 41.811538, 2.365993 41.811562, 2.365923 41.811573, 2.365859 41.811595, 2.365799 41.811603, 2.365726 41.811607, 2.36565 41.811618, 2.365582 41.811632, 2.365527 41.811651, 2.365471 41.811682, 2.365405 41.811692)"
