id,edge_id,lon,lat,elev,dist,km,time,elev_diff,pace,clean_lon,clean_lat
1,11074,2.314325,42.481365,1760.4,0.0,0,0.0,0.0,0.0,2.314328,42.481289
2,11074,2.314368,42.48133,1760.4,0.01,0,0.03,0.0,9.32,2.3143319,42.481286
3,11074,2.314313,42.481294,1760.4,0.01,0,0.18,0.0,2.4,2.3143206,42.481284
4,11074,2.314284,42.481254,1758.4,0.02,0,0.34,-2.0,2.01,2.3142826,42.481256
5,11074,2.314239,42.48129,1749.4,0.02,0,1.1,-9.0,0.43,2.3142702,42.481247
6,2737,2.314188,42.481328,1749.4,0.03,0,1.19,0.0,4.27,2.3141658,42.481357
7,2738,2.314125,42.481348,1749.4,0.03,0,1.27,0.0,4.07,2.3141144,42.481354
8,2738,2.314076,42.48138,1749.4,0.04,0,1.35,0.0,3.92,2.3141162,42.481357
9,2738,2.314036,42.481422,1751.4,0.04,0,1.57,2.0,1.58,2.3141245,42.481372
10,7446,2.314012,42.481466,1753.4,0.05,0,1.65,2.0,3.76,2.3139197,42.481458
11,7446,2.313977,42.481511,1753.9,0.06,0,1.74,0.5,4.17,2.3139157,42.481506
12,7446,2.313953,42.481556,1754.4,0.06,0,1.8,0.5,4.89,2.3139087,42.481548
13,7446,2.313949,42.481613,1755.9,0.07,0,1.88,1.5,4.56,2.3138991,42.481605
14,7446,2.313964,42.481659,1756.4,0.07,0,2.0,0.5,2.7,2.3138936,42.481653
15,7446,2.313943,42.481704,1756.4,0.08,0,2.07,0.0,4.69,2.31389,42.4817
16,7446,2.313923,42.481766,1756.4,0.08,0,2.15,0.0,5.24,2.3138781,42.48175
17,7446,2.313894,42.481812,1755.4,0.09,0,2.22,-1.0,5.06,2.3138608,42.481775
18,7446,2.313871,42.481857,1755.4,0.1,0,2.28,0.0,4.83,2.3138215,42.48184
19,7446,2.313853,42.481902,1755.4,0.1,0,2.35,0.0,4.54,2.3138088,42.481874
20,7446,2.313836,42.481964,1756.4,0.11,0,2.45,1.0,4.3,2.313778,42.481947
21,7446,2.313776,42.48199,1756.4,0.11,0,2.5,0.0,6.91,2.3137663,42.481987
22,7446,2.313743,42.482034,1756.4,0.12,0,2.6,0.0,3.33,2.3137395,42.482032
23,7446,2.313731,42.482084,1755.9,0.13,0,2.67,-0.5,5.08,2.3137141,42.482074
24,7446,2.313705,42.48213,1755.4,0.13,0,2.76,-0.5,3.74,2.3136867,42.482119
25,7446,2.313686,42.482186,1757.4,0.14,0,3.12,2.0,1.06,2.3136567,42.482168
26,7446,2.313677,42.482238,1758.4,0.14,0,3.19,1.0,5.25,2.3136328,42.482221
27,7446,2.31369,42.482294,1758.4,0.15,0,3.24,0.0,7.57,2.3136155,42.482265
28,7446,2.31363,42.48233,1758.4,0.16,0,3.37,0.0,2.85,2.3135946,42.48231
29,7446,2.3136,42.482376,1758.4,0.16,0,3.44,0.0,5.12,2.3135673,42.482357
30,7446,2.313597,42.482426,1760.4,0.17,0,3.52,2.0,4.04,2.313545,42.482396
31,7446,2.313588,42.482479,1761.9,0.17,0,3.6,1.5,4.26,2.3135245,42.482463
32,7446,2.313563,42.482527,1763.4,0.18,0,3.69,1.5,4.08,2.3135103,42.482503
33,7446,2.313533,42.482571,1764.4,0.18,0,3.77,1.0,3.97,2.3134868,42.48257
34,7446,2.313509,42.482623,1764.4,0.19,0,3.85,0.0,4.43,2.3134857,42.482623
35,7446,2.31351,42.482669,1764.4,0.2,0,3.92,0.0,4.58,2.3134724,42.48265
36,7446,2.31349,42.482715,1764.9,0.2,0,4.0,0.5,3.86,2.3134498,42.482695
37,7446,2.313459,42.482759,1765.9,0.21,0,4.1,1.0,3.3,2.3134247,42.482748
38,7446,2.313455,42.482807,1767.4,0.21,0,4.19,1.5,3.66,2.3134101,42.482792
39,7446,2.313436,42.482866,1767.4,0.22,0,4.27,0.0,5.12,2.3133894,42.482836
40,7446,2.313404,42.482919,1767.4,0.22,0,4.37,0.0,3.79,2.3133596,42.482909
41,7446,2.313378,42.482977,1767.4,0.23,0,4.47,0.0,4.16,2.3133384,42.482953
42,7446,2.313357,42.483021,1769.4,0.24,0,4.54,2.0,4.51,2.3133159,42.483013
43,7446,2.313341,42.483065,1769.4,0.24,0,4.62,0.0,3.66,2.3133095,42.483044
44,7446,2.313316,42.483113,1769.4,0.25,0,4.7,0.0,4.18,2.3132736,42.483107
45,7446,2.313286,42.483162,1771.4,0.25,0,4.8,2.0,3.62,2.313261,42.483143
46,7446,2.313264,42.483206,1775.4,0.26,0,4.88,4.0,3.81,2.3132317,42.483181
47,7446,2.313212,42.483245,1776.4,0.26,0,4.95,1.0,5.46,2.3132041,42.483246
48,7446,2.313157,42.483281,1776.4,0.27,0,5.0,0.0,7.34,2.3131869,42.483299
49,7446,2.313135,42.483328,1776.4,0.28,0,5.14,0.0,2.45,2.3131668,42.483337
50,7446,2.313158,42.483373,1776.4,0.28,0,5.24,0.0,3.1,2.3131567,42.483373
51,7446,2.313172,42.483419,1776.4,0.29,0,5.33,0.0,3.28,2.3131456,42.483408
52,7446,2.313156,42.48347,1776.4,0.29,0,5.42,0.0,4.15,2.3131247,42.483457
53,7446,2.313151,42.483517,1776.9,0.3,0,5.54,0.5,2.64,2.313107,42.483498
54,7446,2.313125,42.483562,1777.4,0.3,0,5.62,0.5,3.92,2.3130875,42.483547
55,7446,2.313098,42.483613,1781.9,0.31,0,5.74,4.5,3.19,2.313071,42.48361
56,7446,2.313108,42.483671,1783.4,0.32,0,5.82,1.5,4.68,2.3130654,42.483653
57,7446,2.313096,42.483725,1785.4,0.32,0,5.9,2.0,4.38,2.3130445,42.483704
58,7446,2.313075,42.483773,1787.4,0.33,0,6.01,2.0,3.22,2.3130213,42.483764
59,7446,2.313049,42.483824,1788.4,0.33,0,6.12,1.0,3.15,2.3130125,42.483818
60,7446,2.31304,42.483874,1789.4,0.34,0,6.24,1.0,2.97,2.3130115,42.483884
61,7446,2.313046,42.483924,1791.4,0.34,0,6.34,2.0,3.25,2.3130212,42.483911
62,7446,2.313017,42.483966,1792.4,0.35,0,6.49,1.0,2.09,2.3129972,42.483967
63,7446,2.313011,42.484019,1793.4,0.36,0,6.59,1.0,3.54,2.3130106,42.484019
64,7446,2.313033,42.484069,1793.4,0.36,0,6.69,0.0,3.52,2.3130228,42.48407
65,7446,2.313041,42.484124,1794.4,0.37,0,6.77,1.0,4.45,2.3130257,42.484125
66,7446,2.313048,42.48418,1794.4,0.37,0,6.85,0.0,4.52,2.3130286,42.484181
67,7446,2.31305,42.484227,1794.4,0.38,0,6.92,0.0,4.65,2.3130303,42.484227
68,7446,2.313042,42.484275,1795.4,0.38,0,7.01,1.0,3.83,2.3130309,42.484275
69,7446,2.313042,42.484324,1794.9,0.39,0,7.07,-0.5,5.24,2.3130315,42.484324
70,7446,2.313047,42.484382,1795.4,0.4,0,7.15,0.5,4.62,2.3130243,42.484378
71,7446,2.313042,42.484434,1795.4,0.4,0,7.25,0.0,3.38,2.3130149,42.484432
72,7446,2.313031,42.484485,1795.4,0.41,0,7.34,0.0,4.13,2.3130103,42.484483
73,7446,2.313042,42.484543,1796.4,0.41,0,7.44,1.0,3.9,2.3130117,42.48455
74,7446,2.313034,42.484608,1797.4,0.42,0,7.54,1.0,4.34,2.3130203,42.484599
75,7446,2.313016,42.484655,1797.4,0.43,0,7.62,0.0,3.92,2.312992,42.484644
76,7446,2.312985,42.484696,1798.4,0.43,0,7.75,1.0,2.37,2.312979,42.484696
