id,u,v,geometry,total_tracks,list_tracks,weight
392,36872472,36872475,"LINESTRING (2.6741264 42.4733948, 2.6743518 42.4735324, 2.6745041 42.4736253, 2.6747113 42.4737552, 2.6750986 42.4739981, 2.6752221 42.4741015)",1,['187697056'],1
393,36872472,4475030356,"LINESTRING (2.6741264 42.4733948, 2.6738078 42.4732859, 2.6737269 42.4732583, 2.6736712 42.4732438)",1,['187697056'],1
394,36872475,12110415500,"LINESTRING (2.6752221 42.4741015, 2.6753428 42.4742644, 2.67536 42.4743359, 2.6753772 42.4744074, 2.6754164 42.474656, 2.6754412 42.4747689, 2.675424 42.4749148, 2.6752188 42.4751944, 2.674598 42.4764137, 2.6744667 42.4766093, 2.6742672 42.4768202, 2.6741694 42.4770657)",1,['187697056'],1
395,36872475,1664669214,"LINESTRING (2.6752221 42.4741015, 2.6750675 42.4746345, 2.6750608 42.474706, 2.6747282 42.4749263, 2.6747035 42.4749564)",1,['187697056'],1
1209,281259737,281332021,"LINESTRING (2.6701244 42.4735865, 2.6701551 42.4735763, 2.6703615 42.4735163, 2.6707682 42.4734083)",2,"['187694864', '187697056']",10
1211,281259737,281264642,"LINESTRING (2.6701244 42.4735865, 2.6703989 42.4743029, 2.6704246 42.4743699, 2.6704502 42.4744369)",1,['187694864'],1
1212,281259737,281331918,"LINESTRING (2.6701244 42.4735865, 2.670081 42.4735195, 2.6700678 42.4734966, 2.6699494 42.4733084, 2.6698516 42.4731354, 2.669838 42.4731045)",2,"['187694864', '187697056']",10
1217,281264620,281264621,"LINESTRING (2.6644173 42.474042, 2.6646485 42.4740967, 2.6648099 42.4741468)",1,['187694864'],1
1218,281264621,281332024,"LINESTRING (2.6648099 42.4741468, 2.6646118 42.4745886)",1,['187694864'],1
1219,281264621,281332043,"LINESTRING (2.6648099 42.4741468, 2.6648765 42.4741722, 2.6653166 42.4742757, 2.665428 42.4742773, 2.6656083 42.4742461, 2.6656599 42.474232, 2.6663663 42.4740397, 2.6664721 42.4740112)",1,['187694864'],1
1220,281264622,281332045,"LINESTRING (2.6645031 42.4747688, 2.6645565 42.4748089, 2.6650053 42.475016, 2.6652259 42.4751031, 2.6654545 42.4751579, 2.6656646 42.475188, 2.6660674 42.4752073, 2.6663385 42.4752018, 2.6666646 42.4751692, 2.666927 42.47512, 2.6669761 42.4751108)",2,"['187694864', '187697056']",10
1221,281264622,281325793,"LINESTRING (2.6645031 42.4747688, 2.6644271 42.474846, 2.6639423 42.4752704, 2.6638969 42.4753305, 2.6638895 42.4753952)",2,"['187694864', '187697056']",10
1222,281264622,281332024,"LINESTRING (2.6646118 42.4745886, 2.6645503 42.4747154, 2.6645031 42.4747688)",1,['187697056'],1
1224,281264625,281264626,"LINESTRING (2.6639518 42.4754461, 2.6641585 42.4755551)",1,['187694864'],1
1225,281264625,10031041686,"LINESTRING (2.6639518 42.4754461, 2.6640178 42.4753934, 2.6640278 42.4753828, 2.6640012 42.4753633, 2.6640097 42.4753558, 2.664034 42.4753748, 2.6640652 42.4753721, 2.6641068 42.4753748, 2.6642778 42.4754797, 2.6644846 42.4755835)",2,"['187694864', '187697056']",10
1228,281264636,281264652,"LINESTRING (2.6672195 42.4759048, 2.6674739 42.4758367, 2.6677429 42.4757375, 2.6680729 42.4755683, 2.6681843 42.4755317, 2.6682197 42.4755265)",1,['187697056'],1
1231,281264642,281264658,"LINESTRING (2.6704502 42.4744369, 2.6705282 42.4744503)",1,['187697056'],1
1232,281264642,281264643,"LINESTRING (2.6704502 42.4744369, 2.67037 42.4744422, 2.6702983 42.4744511, 2.6700785 42.4745127, 2.6697508 42.4746724, 2.6694306 42.474836, 2.6691204 42.4750042, 2.6686107 42.4752782, 2.6684857 42.4753464, 2.6683854 42.4754051, 2.6683414 42.4754635)",2,"['187694864', '187697056']",10
1233,281264643,281264646,"LINESTRING (2.6683414 42.4754635, 2.6683657 42.4754822, 2.6683762 42.475512, 2.6683687 42.4755427, 2.6683379 42.4755669)",1,['187697056'],1
1238,281264658,281333449,"LINESTRING (2.6705282 42.4744503, 2.6707562 42.4744735)",1,['187694864'],1
1239,281264696,5196264719,"LINESTRING (2.672709 42.4754385, 2.6725411 42.4755246, 2.6724603 42.4755533, 2.6723572 42.4755701, 2.672254 42.4755704, 2.6716214 42.4754516)",1,['187694864'],1
1240,281264696,281941819,"LINESTRING (2.672709 42.4754385, 2.6725156 42.4757398, 2.6724489 42.4758344)",1,['187694864'],1
1241,281264696,5196264708,"LINESTRING (2.672709 42.4754385, 2.6728135 42.4752529, 2.6728401 42.4751457, 2.6728152 42.4750029, 2.6727454 42.4749339, 2.6726337 42.4748919, 2.6724147 42.4748332)",1,['187694864'],1
1243,281264757,281942373,"LINESTRING (2.6700901 42.4833743, 2.6703254 42.4833731, 2.6711528 42.4835552, 2.67156 42.4836952, 2.6717422 42.4837628, 2.6718389 42.4837875, 2.672124 42.4837997)",1,['187697056'],1
1244,281264757,5320555747,"LINESTRING (2.6700901 42.4833743, 2.670392 42.4834404, 2.6709115 42.4836062, 2.6714404 42.4838122, 2.6717613 42.4840411, 2.6719215 42.4841758)",1,['187697056'],1
1245,281264766,5320633840,"LINESTRING (2.6739554 42.4848175, 2.6740831 42.4849008, 2.6741975 42.4849729)",1,['187697056'],1
1246,281264766,1423191558,"LINESTRING (2.6739554 42.4848175, 2.6738375 42.4847848, 2.6735392 42.4847152)",1,['187697056'],1
1248,281264769,5320633840,"LINESTRING (2.6743697 42.4851395, 2.674299 42.4850509, 2.6741975 42.4849729)",1,['187697056'],1
1251,281264916,281264970,"LINESTRING (2.6662498 42.4778264, 2.6662595 42.4777575, 2.66632 42.4777243, 2.6664858 42.4776834, 2.6669425 42.4775682, 2.6674337 42.4774559, 2.6675953 42.477403, 2.667686 42.4773398, 2.6678007 42.4772121, 2.6681009 42.4769805, 2.6682637 42.4767733, 2.6683904 42.4766126, 2.6685252 42.4764699, 2.6686073 42.4763094, 2.6686609 42.4761265, 2.6687311 42.4760124, 2.6688621 42.4759101, 2.6690295 42.4758063, 2.6692031 42.4757308, 2.669308 42.4756691, 2.6693985 42.475555, 2.6694932 42.4754783, 2.6696323 42.475382, 2.669745 42.4752678, 2.6698861 42.475164, 2.6703256 42.4748766, 2.6705517 42.4747591, 2.6706669 42.4747362)",1,['187694864'],1
1252,281264916,281333449,"LINESTRING (2.6706669 42.4747362, 2.6707144 42.4747013, 2.6708203 42.4746717, 2.6708203 42.4746568, 2.670772 42.474639, 2.670772 42.4746311, 2.6708297 42.4746014, 2.6708136 42.4745906, 2.6707023 42.4745866, 2.6707439 42.4745648, 2.6706634 42.4745609, 2.6706594 42.4745461, 2.6707562 42.4744735)",1,['187697056'],1
1253,281264916,5196264705,"LINESTRING (2.6706669 42.4747362, 2.6707681 42.4747524, 2.6708554 42.4747911, 2.670886 42.4748405, 2.6709625 42.4750017, 2.6709783 42.475045)",1,['187694864'],1
1254,281264970,1423191653,"LINESTRING (2.6662498 42.4778264, 2.6662655 42.4778424, 2.6663019 42.4778483, 2.6664515 42.4778149, 2.6668213 42.4777104, 2.667308 42.4776568)",1,['187694864'],1
1255,281264970,281325690,"LINESTRING (2.6662498 42.4778264, 2.6661603 42.4778577, 2.6659683 42.4778882, 2.6650562 42.4780032, 2.6643867 42.4780501, 2.6643635 42.4780594)",1,['187694864'],1
1259,281265018,493613613,"LINESTRING (2.662489 42.475197, 2.6626264 42.4753009, 2.6627246 42.4753766, 2.6631069 42.4756814)",1,['187694864'],1
1262,281265069,281325716,"LINESTRING (2.6627036 42.4770185, 2.6624649 42.4769791, 2.6623938 42.4769586, 2.6617502 42.4764701, 2.6617177 42.4764129, 2.6616978 42.4763174)",1,['187694864'],1
1263,281265069,281325690,"LINESTRING (2.6627036 42.4770185, 2.662696 42.4771114, 2.6627652 42.4771951, 2.6632646 42.4774872, 2.6634069 42.4776051, 2.663722 42.4778783, 2.6639513 42.478002, 2.6641357 42.4780419, 2.6643635 42.4780594)",1,['187694864'],1
1264,281265127,1423191780,"LINESTRING (2.6658135 42.4788294, 2.6658715 42.4787124, 2.6659676 42.4785233, 2.6660581 42.4784197, 2.6662052 42.4782919, 2.6663524 42.4782031, 2.6666434 42.4781169, 2.6666795 42.47811)",1,['187694864'],1
1265,281265127,1423191712,"LINESTRING (2.6658135 42.4788294, 2.6660618 42.4787913, 2.666425 42.4786561, 2.6666452 42.4785904, 2.6668925 42.4785479, 2.6671243 42.4783972, 2.6672479 42.4782968, 2.6675223 42.47822)",1,['187694864'],1
1270,281325716,281325748,"LINESTRING (2.6616978 42.4763174, 2.6617253 42.4762345, 2.6618152 42.4761499, 2.6619203 42.4761034, 2.6623394 42.4760289, 2.662419 42.4760398, 2.6625267 42.4760586, 2.6626278 42.4760599, 2.6627938 42.4759616, 2.6628073 42.4758766)",1,['187694864'],1
1273,281325748,493613613,"LINESTRING (2.6628073 42.4758766, 2.6629908 42.475725, 2.6631069 42.4756814)",1,['187694864'],1
1280,281325793,1776198880,"LINESTRING (2.6638895 42.4753952, 2.6637728 42.4754309, 2.6636237 42.4755519, 2.6635129 42.4756115)",1,['187694864'],1
1315,281329049,281329050,"LINESTRING (2.6675359 42.4737187, 2.6675241 42.4736942, 2.6675133 42.4736669)",1,['187694864'],1
1316,281329049,281332043,"LINESTRING (2.6664721 42.4740112, 2.6670458 42.4738508, 2.6674544 42.4737443, 2.6675359 42.4737187)",2,"['187694864', '187697056']",10
1317,281329049,281329058,"LINESTRING (2.6675359 42.4737187, 2.6677822 42.4736533, 2.6681917 42.4735428, 2.6686661 42.4734147, 2.6691322 42.4732887)",2,"['187694864', '187697056']",10
1318,281329050,281329057,"LINESTRING (2.6675133 42.4736669, 2.6675746 42.4736489, 2.6679759 42.4735313, 2.6681008 42.4734814, 2.6682399 42.4733797, 2.6686865 42.4730876, 2.6688983 42.4729814, 2.6691662 42.4728542)",1,['187694864'],1
1319,281329057,281329058,"LINESTRING (2.6691322 42.4732887, 2.6691125 42.4732511, 2.669074 42.4731777, 2.6690735 42.4731129, 2.6691662 42.4728542)",1,['187694864'],1
1320,281329057,281329065,"LINESTRING (2.6691662 42.4728542, 2.6692402 42.4727046, 2.6692515 42.4726576, 2.6692378 42.4726096, 2.6691963 42.4725638, 2.6691556 42.4725203, 2.6689325 42.4723091, 2.668786 42.4721178)",1,['187694864'],1
1321,281329058,281332039,"LINESTRING (2.6691322 42.4732887, 2.669196 42.4732682, 2.669467 42.4731811)",1,['187697056'],1
1322,281329065,12110522716,"LINESTRING (2.668786 42.4721178, 2.6689538 42.4724583, 2.668971 42.4725016, 2.6689806 42.4725324, 2.6690021 42.4725842, 2.6690085 42.4726184, 2.6690109 42.4726578, 2.6689546 42.4727247, 2.6688768 42.4727574, 2.6685365 42.4728596, 2.6684149 42.472967)",1,['187694864'],1
1323,281329065,7830231929,"LINESTRING (2.668786 42.4721178, 2.6687598 42.4720626)",1,['187694864'],1
1334,281331865,281331950,"LINESTRING (2.6680634 42.4702508, 2.6681594 42.4703027, 2.6683347 42.470353)",1,['187694864'],1
