waypoint_id,track_id,lat,lon,elev,type,url
187591821,187591820,42.481254,2.314285,1758,Collada,https://s0.wklcdn.com/image_69/2094809/187591821/116139417.jpg
187591822,187591820,42.497591,2.323865,1938,Collada,https://s1.wklcdn.com/image_69/2094809/187591822/116139430.jpg
187591823,187591820,42.506995,2.323296,2044,Collada,https://s1.wklcdn.com/image_69/2094809/187591823/116139439.jpg
187591824,187591820,42.508774,2.323286,2083,Cim,https://s1.wklcdn.com/image_69/2094809/187591824/116139445.jpg
187598990,187598989,42.52277,2.377147,1252,Cim,https://s2.wklcdn.com/image_69/2094809/187598990/116142083.jpg
187598991,187598989,42.515013,2.381067,1111,Cim,https://s0.wklcdn.com/image_69/2094809/187598991/116142195.jpg
187626060,187626059,42.51156,2.393193,1422,Collada,https://s1.wklcdn.com/image_7/215905/187626060/116158384.jpg
187626061,187626059,42.51069,2.393492,1452,Collada,https://s2.wklcdn.com/image_7/215905/187626061/116158454.jpg
187626062,187626059,42.50988,2.393822,1461,Collada,https://s1.wklcdn.com/image_7/215905/187626062/116158489.jpg
187626063,187626059,42.508867,2.395645,1445,Collada,https://s2.wklcdn.com/image_7/215905/187626063/116158505.jpg
187626064,187626059,42.508842,2.395705,1447,Intersecció,https://s0.wklcdn.com/image_7/215905/187626064/116158515.jpg
187626065,187626059,42.498387,2.424255,1887,Collada,https://s2.wklcdn.com/image_7/215905/187626065/116158538.jpg
187626066,187626059,42.503377,2.434875,2025,Intersecció,https://s1.wklcdn.com/image_7/215905/187626066/116158552.jpg
187626067,187626059,42.506123,2.450065,2199,Collada,https://s2.wklcdn.com/image_7/215905/187626067/116158571.jpg
187626068,187626059,42.509085,2.456392,2325,Collada,https://s2.wklcdn.com/image_7/215905/187626068/116158592.jpg
187626069,187626059,42.509103,2.457575,2339,Cim,https://s0.wklcdn.com/image_7/215905/187626069/116158602.jpg
187626070,187626059,42.51851,2.456933,2699,Cim,https://s0.wklcdn.com/image_7/215905/187626070/116158611.jpg
187626071,187626059,42.518727,2.45689,2709,Cim,https://s1.wklcdn.com/image_7/215905/187626071/116158639.jpg
187626072,187626059,42.518907,2.456733,2735,Cim,https://s2.wklcdn.com/image_7/215905/187626072/116158652.jpg
187626073,187626059,42.519023,2.456678,2757,Cim,https://s1.wklcdn.com/image_7/215905/187626073/116158672.jpg
187626074,187626059,42.51894,2.456613,2759,Cim,https://s1.wklcdn.com/image_7/215905/187626074/116158687.jpg
187626075,187626059,42.519007,2.456623,2792,Cim,https://s0.wklcdn.com/image_7/215905/187626075/116158701.jpg
187626076,187626059,42.519045,2.45667,2795,Cim,https://s2.wklcdn.com/image_7/215905/187626076/116158772.jpg
187626077,187626059,42.521827,2.455498,2631,Collada,https://s0.wklcdn.com/image_7/215905/187626077/116158785.jpg
187626078,187626059,42.522887,2.455723,2610,Collada,https://s0.wklcdn.com/image_7/215905/187626078/116158794.jpg
187626079,187626059,42.528403,2.454572,2478,Collada,https://s1.wklcdn.com/image_7/215905/187626079/116158807.jpg
187626080,187626059,42.533632,2.455297,2277,Intersecció,https://s2.wklcdn.com/image_7/215905/187626080/116158829.jpg
187626081,187626059,42.532067,2.460735,2187,Aigües termals,https://s0.wklcdn.com/image_7/215905/187626081/116158836.jpg
187626082,187626059,42.532882,2.461547,2177,Aigües termals,https://s1.wklcdn.com/image_7/215905/187626082/116158843.jpg
187626083,187626059,42.533383,2.464172,2161,Refugi de muntanya,https://s1.wklcdn.com/image_7/215905/187626083/116158852.jpg
187626084,187626059,42.534062,2.464745,2165,Intersecció,https://s2.wklcdn.com/image_7/215905/187626084/116158874.jpg
187626085,187626059,42.534105,2.465183,2167,Refugi de muntanya,https://s2.wklcdn.com/image_7/215905/187626085/116158922.jpg
187626086,187626059,42.534973,2.440877,1998,Refugi lliure,https://s0.wklcdn.com/image_7/215905/187626086/116158929.jpg
187626087,187626059,42.537272,2.434153,1751,Intersecció,https://s1.wklcdn.com/image_7/215905/187626087/116158942.jpg
187626089,187626059,42.536933,2.433432,1742,Collada,https://s0.wklcdn.com/image_7/215905/187626089/116158950.jpg
187626090,187626059,42.536847,2.433462,1746,Refugi lliure,https://s0.wklcdn.com/image_7/215905/187626090/116158956.jpg
187626091,187626059,42.531977,2.435842,1744,Collada,https://s2.wklcdn.com/image_7/215905/187626091/116158964.jpg
187626092,187626059,42.525422,2.439008,1898,Collada,https://s2.wklcdn.com/image_7/215905/187626092/116158973.jpg
187626093,187626059,42.521868,2.42708,2027,Collada,https://s1.wklcdn.com/image_7/215905/187626093/116158978.jpg
187626094,187626059,42.51727,2.42795,2083,Pont,https://s0.wklcdn.com/image_7/215905/187626094/116158980.jpg
187626095,187626059,42.507655,2.42043,2039,Intersecció,https://s0.wklcdn.com/image_7/215905/187626095/116158983.jpg
187626096,187626059,42.510143,2.420475,1954,Collada,https://s1.wklcdn.com/image_7/215905/187626096/116158996.jpg
187626097,187626059,42.515462,2.41526,1809,Refugi de muntanya,https://s2.wklcdn.com/image_7/215905/187626097/116159015.jpg
187626098,187626059,42.515442,2.41513,1806,Refugi de muntanya,https://s2.wklcdn.com/image_7/215905/187626098/116159030.jpg
187626099,187626059,42.515307,2.414673,1806,Intersecció,https://s1.wklcdn.com/image_7/215905/187626099/116159044.jpg
187626100,187626059,42.509565,2.406097,1364,Riu,https://s0.wklcdn.com/image_7/215905/187626100/116159064.jpg
187626101,187626059,42.510042,2.405753,1362,Riu,https://s0.wklcdn.com/image_7/215905/187626101/116159082.jpg
187626102,187626059,42.508845,2.395727,1437,Intersecció,https://s1.wklcdn.com/image_7/215905/187626102/116159116.jpg
187694865,187694864,42.478223,2.667782,340,Punt d'interès,https://s2.wklcdn.com/image_5/179873/187694865/116191832.jpg
187694866,187694864,42.478829,2.665917,325,Punt d'interès,
187694867,187694864,42.471979,2.668571,254,Lloc religiós,https://s0.wklcdn.com/image_5/179873/187694867/116192043.jpg
187694868,187694864,42.470471,2.668303,233,Punt d'interès,https://s1.wklcdn.com/image_5/179873/187694868/116192185.jpg
187697057,187697056,42.484525,2.67455,259,Punt d'interès,https://s1.wklcdn.com/image_5/179873/187697057/116193136.jpg
187697058,187697056,42.483905,2.672469,228,Punt d'interès,https://s0.wklcdn.com/image_5/179873/187697058/116193231.jpg
