track_id,url,title,user,difficulty,distance,elev_gain,elev_loss,date,year,month,weekday,season,min_temp,max_temp,weather_condition,total_time,avg_pace,first_lat,first_lon,last_lat,last_lon
158766251,https://ca.wikiloc.com/rutes-senderisme/font-de-lavi-font-del-ferro-y-mas-la-sala-desde-la-solana-158766251,"Font de l'avi, Font del Ferro y Mas La Sala desde La Solana",928022,Moderat,5.13,181.8,175.2,2024-01-21,2024,January,Sunday,Winter,-0.8,6.7,Cloudy,106.27,4.2,41.84711,2.376226,41.84806,2.375147
179545648,https://ca.wikiloc.com/rutes-senderisme/coll-pregon-collet-de-lhome-mort-y-matagalls-desde-coll-de-bordoriol-179545648,"Coll Pregon, Collet de l'Home Mort y Matagalls desde Coll de Bordoriol",107103,Moderat,10.54,848.1,848.1,2024-08-03,2024,August,Saturday,Summer,17.0,27.5,Drizzle,112.88,7.34,41.826182,2.408915,41.826314,2.409048
160837717,https://ca.wikiloc.com/rutes-senderisme/matagalls-coll-saprunera-y-coll-de-les-tres-creus-desde-coll-formic-160837717,"Matagalls, Coll Saprunera y Coll de les Tres Creus desde Coll Formic",1427604,Moderat,11.68,853.3,844.9,2024-02-11,2024,February,Sunday,Winter,0.0,9.4,Cloudy,273.05,3.87,41.800797,2.348457,41.800614,2.347303
119551473,https://ca.wikiloc.com/rutes-senderisme/matagalls-st-seguimon-119551473,Matagalls st seguimon,2728937,Moderat,10.21,973.1,930.6,2022-11-20,2022,November,Sunday,Autumn,0.4,9.4,Cloudy,124.72,6.42,41.80122,2.347121,41.801119,2.347322
141252055,https://ca.wikiloc.com/rutes-senderisme/el-brull-collformic-matagalls-141252055,EL BRULL. Collformic - Matagalls,1497286,Moderat,7.57,551.8,555.9,2023-07-22,2023,July,Saturday,Summer,14.1,22.0,Rain,208.53,3.09,41.80102,2.347522,41.80103,2.347735
149603903,https://ca.wikiloc.com/rutes-senderisme/viladrau-ermita-de-lerola-sant-segimon-coll-de-les-tres-creus-sant-miquel-dels-barretons-viladrau-p-149603903,Viladrau - Ermita de l'Erola - Sant Segimon - Coll de les Tres Creus - Sant Miquel dels Barretons - Viladrau PR-C 205 (Osona),1778690,Moderat,12.01,710.3,661.2,2023-10-08,2023,October,Sunday,Autumn,11.7,23.9,Cloudy,241.53,3.41,41.845225,2.387573,41.845208,2.38755
162709046,https://ca.wikiloc.com/rutes-senderisme/coll-sabenia-de-baix-coll-de-sabenia-coll-pregon-collet-de-lhome-mort-matagalls-162709046,Coll Sabènia de Baix - Coll de Sabènia - Coll Pregon - Collet de l'Home Mort - Matagalls,4545191,Moderat,3.84,461.9,20.5,2024-03-02,2024,March,Saturday,Winter,3.8,10.7,Drizzle,85.58,3.86,41.817044,2.40432,41.808697,2.382743
185762440,https://ca.wikiloc.com/rutes-senderisme/coll-de-joan-matagalls-y-collet-de-lhome-mort-desde-coll-de-bordoriol-185762440,"Coll de Joan, Matagalls y Collet de l'Home Mort desde Coll de Bordoriol",3720835,Moderat,11.51,703.3,710.0,2024-09-22,2024,September,Sunday,Autumn,11.1,17.9,Rain,166.32,6.0,41.826035,2.408808,41.826506,2.409182
148046117,https://ca.wikiloc.com/rutes-senderisme/el-brull-148046117,el Brull,2525942,Moderat,7.83,626.1,630.8,2023-09-24,2023,September,Sunday,Autumn,10.2,20.7,Drizzle,139.67,4.05,41.801159,2.347408,41.801191,2.347244
116686100,https://ca.wikiloc.com/rutes-senderisme/matagalls-des-de-collformic-116686100,Matagalls (Des de Collformic),328269,Fàcil,11.88,739.9,746.4,2022-10-18,2022,October,Tuesday,Autumn,12.7,20.6,Drizzle,273.28,3.66,41.801043,2.347497,41.800718,2.347393
